curso_codigo;sie_codigo;especialidad_desc;sector_desc;familia_desc;area_desc;especialidad_desc_1;curso_desc;duracion_formacion;duracion_practicas;especialidad_de_certificado;modalidad;dirigido_a;censo;centro_desc;centro_direccion;centro_cp;centro_telefono;centro_email;centro_municipio
18/8010;CCLL2018/8010;SSCE02;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A2;INGLÉS A2;150;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8011;CCLL2018/8011;SSCE02;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A2;INGLÉS A2;150;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8012;CCLL2018/8012;SSCE03;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS B1;INGLÉS B1;240;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8013;CCLL2018/8013;SSCE04;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS B2;INGLÉS B2;240;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8014;CCLL2018/8014;IFCD09;Servicios;Informática  y comunicaciones;Desarrollo;PROGRAMACIÓN ORIENTADA A OBJETOS CON JAVA;PROGRAMACIÓN ORIENTADA A OBJETOS CON JAVA;80;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8015;CCLL2018/8015;IFCD27;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT;DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT;200;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8016;CCLL2018/8016;IFCD28;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;300;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8017;CCLL2018/8017;IFCT38;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;100;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8018;CCLL2018/8018;IFCT38;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;100;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8019;CCLL2018/8019;IFCT39;Servicios;Informática  y comunicaciones;Sistemas y telemática;POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES;POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES;100;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8020;CCLL2018/8020;IFCT45;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMPETENCIAS DIGITALES BÁSICAS;COMPETENCIAS DIGITALES BÁSICAS;60;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8021;CCLL2018/8021;IFCT46;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMPETENCIAS DIGITALES AVANZADAS;COMPETENCIAS DIGITALES AVANZADAS;60;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8022;CCLL2018/8022;AFDA0311;Servicios;Actividades fisicas y deportivas;Actividades físico-deportivo recreativas;INSTRUCCIÓN EN YOGA;INSTRUCCIÓN EN YOGA;430;120;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8023;CCLL2018/8023;AFDP0109;Servicios;Actividades fisicas y deportivas;Prevención y recuperación;SOCORRISMO EN INSTALACIONES ACUÁTICAS;SOCORRISMO EN INSTALACIONES ACUÁTICAS;290;80;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8024;CCLL2018/8024;IMSV0109;Servicios;Imagen y sonido;Producción audiovisual;MONTAJE Y POSTPRODUCCIÓN DE AUDIOVISUALES;MONTAJE Y POSTPRODUCCIÓN DE AUDIOVISUALES;430;80;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8025;CCLL2018/8025;SANT0108;Servicios;Sanidad;Atención sanitaria;ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES;ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES;340;120;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8026;CCLL2018/8026;SSCB0209;Servicios;Servicios socioculturales y a la comunidad;Actividades culturales y recreativas;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;150;160;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8027;CCLL2018/8027;SSCE03;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS B1;INGLÉS B1;240;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8028;CCLL2018/8028;SSCE04;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS B2;INGLÉS B2;240;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8029;CCLL2018/8029;AGAO0108;Agricultura;Agraria;Ornamentales y jardinería;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;250;80;SÍ;Presencial;Desempleados;28064;CENTRO MUNICIPAL DE FORMACION MOSTOLES DESARROLLO 2;Calle Moraleja de En medio, s/n  ;28938;;;MOSTOLES
18/8030;CCLL2018/8030;AGAO0108;Agricultura;Agraria;Ornamentales y jardinería;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;250;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8031;CCLL2018/8031;HOTR0108;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE COCINA;OPERACIONES BÁSICAS DE COCINA;270;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8032;CCLL2018/8032;HOTR0108;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE COCINA;OPERACIONES BÁSICAS DE COCINA;270;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8033;CCLL2018/8033;HOTR0109;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE PASTELERÍA;OPERACIONES BÁSICAS DE PASTELERÍA;330;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8034;CCLL2018/8034;AGAO0108;Agricultura;Agraria;Ornamentales y jardinería;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA;250;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8035;CCLL2018/8035;HOTR0108;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE COCINA;OPERACIONES BÁSICAS DE COCINA;270;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8036;CCLL2018/8036;HOTR0108;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE COCINA;OPERACIONES BÁSICAS DE COCINA;270;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8037;CCLL2018/8037;HOTR0109;Servicios;Hostelería y turismo;Restauración;OPERACIONES BÁSICAS DE PASTELERÍA;OPERACIONES BÁSICAS DE PASTELERÍA;330;80;SÍ;Presencial;Desempleados;16190;CIUDAD DEPORT. MUNICIPAL;Avenida Virgen del Val, 4  ;28804;918836531;cdmalcala@telefonica.net;ALCALA DE HENARES
18/8038;CCLL2018/8038;SSCS0208;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;370;80;SÍ;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8039;CCLL2018/8039;ADGG0408;Servicios;Administración y gestión;Gestión de la información y la comunicación;OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES;OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES;390;40;SÍ;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8040;CCLL2018/8040;ADGG0508;Servicios;Administración y gestión;Gestión de la información y la comunicación;OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS;OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS;360;80;SÍ;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8041;CCLL2018/8041;SSCE01;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A1;INGLÉS A1;150;0;NO;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8042;CCLL2018/8042;SSCE02;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A2;INGLÉS A2;150;0;NO;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8043;CCLL2018/8043;SSCS0208;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;370;80;SÍ;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8044;CCLL2018/8044;SSCS0208;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;370;80;SÍ;Presencial;Desempleados;1532;C.FORMACION Y PROMOC.EMP;Calle Industrias, 73  ;28925;916648415;imepe@ayto-alcorcon.es;ALCORCON
18/8045;CCLL2018/8045;IFCD0110;Servicios;Informática  y comunicaciones;Desarrollo;CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB;CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB;480;80;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8046;CCLL2018/8046;IFCT0108;Servicios;Informática  y comunicaciones;Sistemas y telemática;OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS;OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS;290;80;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8047;CCLL2018/8047;SSCS0208;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;370;80;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8048;CCLL2018/8048;COML0110;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ACTIVIDADES AUXILIARES DE ALMACÉN;ACTIVIDADES AUXILIARES DE ALMACÉN;170;40;SÍ;Presencial;Desempleados;28120;EPE Alcalá Desarrollo - Fundación Nº 1;Carretera M300 Km25 Cañada de los Barrancos, s/n  ;28803;;;ALCALA DE HENARES
18/8049;CCLL2018/8049;ADGG0208;Servicios;Administración y gestión;Gestión de la información y la comunicación;ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE;ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE;680;120;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8050;CCLL2018/8050;COML0309;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ORGANIZACIÓN Y GESTIÓN DE ALMACENES;ORGANIZACIÓN Y GESTIÓN DE ALMACENES;310;80;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8051;CCLL2018/8051;IFCT0309;Servicios;Informática  y comunicaciones;Sistemas y telemática;MONTAJE Y REPARACIÓN DE SISTEMAS MICROINFORMÁTICOS;MONTAJE Y REPARACIÓN DE SISTEMAS MICROINFORMÁTICOS;470;40;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8052;CCLL2018/8052;SSCS0208;Servicios;Servicios socioculturales y a la comunidad;Asistencia social;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES;370;80;SÍ;Presencial;Desempleados;1139;C.DE FORM. PROFESIONAL;Vía Complutense, 128  ;28805;918823806;cursosempleo@ayto-alcaladehenares.es;ALCALA DE HENARES
18/8053;CCLL2018/8053;COML0110;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ACTIVIDADES AUXILIARES DE ALMACÉN;ACTIVIDADES AUXILIARES DE ALMACÉN;170;40;SÍ;Presencial;Desempleados;28120;EPE Alcalá Desarrollo - Fundación Nº 1;Carretera M300 Km25 Cañada de los Barrancos, s/n  ;28803;;;ALCALA DE HENARES
18/8054;CCLL2018/8054;IFCI17;Servicios;Informática  y comunicaciones;Informática;TÉCNICO EN SOFTWARE OFIMÁTICO;TÉCNICO EN SOFTWARE OFIMÁTICO;350;0;NO;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8055;CCLL2018/8055;SSCB0209;Servicios;Servicios socioculturales y a la comunidad;Actividades culturales y recreativas;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;150;160;SÍ;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8056;CCLL2018/8056;ADGX01;Servicios;Administración y gestión;Especialidades sin área definida (administración y oficinas);INGLÉS: GESTIÓN COMERCIAL;INGLÉS: GESTIÓN COMERCIAL;200;0;NO;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8057;CCLL2018/8057;IFCD28;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;300;0;NO;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8058;CCLL2018/8058;IFCT38;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;100;0;NO;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8059;CCLL2018/8059;SSCB0209;Servicios;Servicios socioculturales y a la comunidad;Actividades culturales y recreativas;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;150;160;SÍ;Presencial;Desempleados;27791;CENTRO CIVICO EL ALAMO;Avenida Toledo, 36  ;28607;918609510;adl@aytoelalamo.es;ALAMO (EL)
18/8060;CCLL2018/8060;ADGG0408;Servicios;Administración y gestión;Gestión de la información y la comunicación;OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES;OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES;390;40;SÍ;Presencial;Desempleados;26950;CENT.SERV.EMPRESARIALES;Calle Montealegre, 11  ;28500;918711344;desarrollo_local@ayto-arganda.es;ARGANDA DEL REY
18/8061;CCLL2018/8061;COML0209;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN;ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN;340;80;SÍ;Presencial;Desempleados;26950;CENT.SERV.EMPRESARIALES;Calle Montealegre, 11  ;28500;918711344;desarrollo_local@ayto-arganda.es;ARGANDA DEL REY
18/8062;CCLL2018/8062;COML0309;Servicios;Comercio y marketing;Logística comercial y gestión del transporte;ORGANIZACIÓN Y GESTIÓN DE ALMACENES;ORGANIZACIÓN Y GESTIÓN DE ALMACENES;310;80;SÍ;Presencial;Desempleados;26950;CENT.SERV.EMPRESARIALES;Calle Montealegre, 11  ;28500;918711344;desarrollo_local@ayto-arganda.es;ARGANDA DEL REY
18/8063;CCLL2018/8063;IFCT38;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;100;0;NO;Presencial;Desempleados;26950;CENT.SERV.EMPRESARIALES;Calle Montealegre, 11  ;28500;918711344;desarrollo_local@ayto-arganda.es;ARGANDA DEL REY
18/8064;CCLL2018/8064;IFCT39;Servicios;Informática  y comunicaciones;Sistemas y telemática;POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES;POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES;100;0;NO;Presencial;Desempleados;26950;CENT.SERV.EMPRESARIALES;Calle Montealegre, 11  ;28500;918711344;desarrollo_local@ayto-arganda.es;ARGANDA DEL REY
